2025-06-09 00:23:15,481 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-09 00:23:15,482 | INFO     | src.experiments | [full_weather] Rolling forecast
2025-06-09 00:24:59,539 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:24:59,555 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:24:59,555 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:24:59,626 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:24:59,634 | INFO     | src.experiments | [full_weather] Creating default model
2025-06-09 00:29:17,440 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:29:17,453 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:29:17,453 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:29:17,523 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:29:17,525 | INFO     | src.experiments | [full_weather] Creating default model
2025-06-09 00:29:17,525 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-09 00:29:58,241 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:29:58,253 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:29:58,253 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:29:58,325 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:29:58,327 | INFO     | src.experiments | [full_weather] Creating default model
2025-06-09 00:29:58,327 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-09 00:34:20,864 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-09 00:34:20,864 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-09 00:34:20,864 | INFO     | src.experiments | [full_weather] Rolling forecast
2025-06-09 00:39:01,488 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:39:01,500 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:39:01,500 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:39:01,570 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:39:01,571 | INFO     | src.experiments | [full_weather] Creating default model
2025-06-09 00:39:01,572 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-09 00:41:58,620 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:41:58,635 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:41:58,635 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:41:58,718 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:41:58,721 | INFO     | src.experiments | [full_weather] Creating default model
2025-06-09 00:41:58,721 | INFO     | src.experiments | [full_weather] Fitting model
